run_timestamp,check_id,check_name,table_name,check_type,severity,description,failure_count,allowed_failures,status,recommended_action,error_message
2026-07-06T10:29:40,DQ001,customers_customer_id_not_missing,customers,completeness,Critical,Customer records must have a customer_id.,0,0,PASS,Investigate customer records with missing IDs before loading downstream tables.,
2026-07-06T10:29:40,DQ002,customers_customer_id_unique,customers,uniqueness,Critical,customer_id must be unique.,0,0,PASS,Deduplicate customer master records.,
2026-07-06T10:29:40,DQ003,merchants_merchant_id_unique,merchants,uniqueness,Critical,merchant_id must be unique.,0,0,PASS,Deduplicate merchant master records.,
2026-07-06T10:29:40,DQ004,accounts_account_id_unique,accounts,uniqueness,Critical,account_id must be unique.,0,0,PASS,Investigate duplicate account records.,
2026-07-06T10:29:40,DQ005,transactions_transaction_id_unique,transactions,uniqueness,Critical,transaction_id must be unique in the transaction table.,0,0,PASS,Deduplicate transaction records before scoring risk.,
2026-07-06T10:29:40,DQ006,transactions_required_fields_not_missing,transactions,completeness,Critical,Core transaction fields must not be missing.,0,0,PASS,Fix missing transaction identifiers or core financial fields.,
2026-07-06T10:29:40,DQ007,transactions_no_negative_amounts,transactions,validity,Critical,Transaction amounts should not be negative.,0,0,PASS,Investigate negative transaction amounts and confirm refund logic if applicable.,
2026-07-06T10:29:40,DQ008,transactions_valid_currency,transactions,validity,High,"Transaction currency must be one of GBP, EUR or USD.",0,0,PASS,Review currency mapping and source-system currency codes.,
2026-07-06T10:29:40,DQ009,transactions_valid_status,transactions,validity,High,Transaction status must be from the accepted status list.,0,0,PASS,Review transaction lifecycle status mapping.,
2026-07-06T10:29:40,DQ010,transactions_valid_customer_reference,transactions,referential_integrity,Critical,Every transaction customer_id must exist in customers.,0,0,PASS,Investigate orphan transaction customer references.,
2026-07-06T10:29:40,DQ011,transactions_valid_account_reference,transactions,referential_integrity,Critical,Every transaction account_id must exist in accounts.,0,0,PASS,Investigate orphan transaction account references.,
2026-07-06T10:29:40,DQ012,transactions_valid_merchant_reference,transactions,referential_integrity,Critical,Every transaction merchant_id must exist in merchants.,0,0,PASS,Investigate orphan transaction merchant references.,
2026-07-06T10:29:40,DQ013,accounts_valid_customer_reference,accounts,referential_integrity,Critical,Every account customer_id must exist in customers.,0,0,PASS,Investigate account records linked to missing customers.,
2026-07-06T10:29:40,DQ014,account_transfers_valid_source_account,account_transfers,referential_integrity,Critical,Every transfer source account must exist in accounts.,0,0,PASS,Investigate invalid source account references in transfers.,
2026-07-06T10:29:40,DQ015,account_transfers_valid_destination_account,account_transfers,referential_integrity,Critical,Every transfer destination account must exist in accounts.,0,0,PASS,Investigate invalid destination account references in transfers.,
2026-07-06T10:29:40,DQ016,account_transfers_no_same_source_destination,account_transfers,validity,High,Source and destination account should not be the same.,0,0,PASS,Review transfer records where source and destination are identical.,
2026-07-06T10:29:40,DQ017,watchlist_entity_reference_valid,watchlist,referential_integrity,High,Watchlist entities should match either a customer or a merchant.,0,0,PASS,Review dummy watchlist records with no matching customer or merchant.,
2026-07-06T10:29:40,DQ018,reconciliation_file_a_no_negative_amounts,reconciliation_file_a,validity,Critical,Reconciliation File A should not contain negative amounts.,0,0,PASS,Investigate negative values in reconciliation File A.,
2026-07-06T10:29:40,DQ019,reconciliation_file_b_no_negative_amounts,reconciliation_file_b,validity,Critical,Reconciliation File B should not contain negative amounts.,0,0,PASS,Investigate negative values in reconciliation File B.,
2026-07-06T10:29:40,DQ020,reconciliation_file_b_duplicate_transaction_ids_warning,reconciliation_file_b,controlled_break_detection,Warning,Duplicate transaction IDs in File B are expected controlled reconciliation breaks.,30,0,WARN,Route duplicate transaction IDs into reconciliation break review.,
2026-07-06T10:29:40,DQ021,suspicious_label_binary,transactions,validity,High,suspicious_label must be either 0 or 1.,0,0,PASS,Review target label generation logic.,
2026-07-06T10:29:40,DQ022,transaction_risk_flags_binary,transactions,validity,High,Risk flags must be binary.,0,0,PASS,Review risk flag generation logic.,
2026-07-06T10:29:40,DQ023,reconciliation_status_valid,reconciliation_results,validity,High,Reconciliation status must be either Matched or Break.,0,0,PASS,Review reconciliation status assignment logic.,
2026-07-06T10:29:40,DQ024,reconciliation_break_cases_required_fields,reconciliation_breaks,completeness,Critical,"Reconciliation break cases must have case ID, break type, severity and case status.",0,0,PASS,Review case creation logic in the reconciliation engine.,
